,taxon,leaf_part_margin,leaf position,fruit_part_apex_shape,leaf_part_apex_shape,fruit_part_surface,flower_part_surface,leaf_part_venation_lateral,leaf_part_hair_shape,inflorescence_shape,leaf_part_venation,fruit_part_venation,part_color,article_surface,leaf_part_base_shape,leaf_part_hair_surface,leaf_part_lobe_shape,phyllichnia_shape,part_surface,leaf_part_color,inflorescence_surface,leaf_part_surface,fruit_part_shape,fruit_part_color,part_shape,leaf_part_margin_margin,flower_part_shape,leaf_part_shape,leaf_part_size_width,branch_length,inflorescence_size_width,part_size_width,part_size_length,fruit_part_size_width,leaf_part_size_length,part_size_diameter,part_size_thickness,article_width,inflorescence_size_length,fruit_part_size_thickness,article_length,leaf_part_size_thickness,leaflet_number,part_size_height,flower_part_size_length,fruit_part_size_length
254,Betula microphylla var. harasiica,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
255,Betula microphylla var. latibracteata,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
256,Betula microphylla var. paludosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
257,Betula microphylla var. tumantica,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
258,Betula middendorfii,1,,,32,7,7,0,,29,,,16,,27,,20,,2,23,,11,60,,,14,14,47,1.65,nan,8.5,nan,nan,1.5,3.1,nan,nan,nan,1.35,nan,nan,nan,nan,2.0,9.0,2.0
259,Betula ovalifolia,1,,,32,,7,1,,23,,,8,,27,,14,,19,41,,8,34,,,24,,17,3.0,nan,9.5,nan,nan,1.5,4.583333333333333,nan,nan,nan,2.25,nan,nan,nan,nan,2.0,4.0,3.0
260,Betula pendula,1,,,6,18,,1,,23,,,6,,54,,22,,2,,,8,35,,30,15,12,79,3.75,nan,9.0,nan,nan,1.0,4.416666666666667,nan,nan,nan,2.15,nan,nan,nan,nan,25.0,1.5,2.0
261,Betula platyphylla,11,,,8,18,,1,,29,,,23,,54,,22,,3,,,8,60,,30,24,14,79,4.75,nan,1.0,nan,nan,1.25,4.583333333333334,nan,nan,nan,3.5,nan,nan,nan,nan,30.0,1.75,1.75
262,Betula potaninii,,,,3,18,11,1,,23,15,,8,,36,,20,,9,43,,37,54,,30,14,,38,1.75,nan,5.5,nan,nan,1.0,3.5833333333333335,nan,nan,nan,1.5,nan,nan,nan,nan,5.0,2.0,1.5
263,Betula rhombibracteata,,,,3,18,7,1,,0,5,,12,,36,,27,,19,,,8,50,,,21,,43,5.75,nan,8.0,nan,nan,2.25,5.416666666666666,nan,nan,nan,10.0,nan,nan,nan,nan,7.0,1.0,4.0
264,Betula rotundifolia,1,,,,,7,1,,23,,,39,,36,,14,,3,,,30,50,,,24,,79,1.4,nan,7.0,nan,nan,1.8,4.375,nan,nan,nan,1.95,nan,nan,nan,nan,2.0,3.5,2.5
265,Betula schmidtii,,,,,18,7,0,,23,15,,12,,36,,7,,3,,,37,60,,,24,,57,3.5,nan,7.5,nan,nan,1.5,6.0,nan,nan,nan,2.5,nan,nan,nan,nan,35.0,4.5,2.0
266,Betula tianschanica,1,,,3,,7,0,,23,,,8,,27,,14,,3,,,22,54,,,21,12,68,3.5,nan,7.5,nan,nan,nan,5.666666666666666,nan,nan,nan,2.5,nan,nan,nan,nan,12.0,1.1,2.5
267,Betula trichogemma,14,,,8,18,,1,,23,5,,19,,27,,15,,16,13,,37,57,,,24,,25,1.15,nan,3.5,nan,nan,2.0,2.75,nan,nan,nan,1.4,nan,nan,nan,nan,4.0,nan,2.25
268,Betula utilis,1,,,6,,,1,,23,,,13,,25,,20,,2,,,37,54,,,21,,57,4.25,nan,9.5,nan,nan,1.75,4.8,nan,nan,nan,4.0,nan,nan,nan,nan,35.0,1.0,2.5
269,Betulaceae,16,,,,,,,,29,8,,,,,,,,,,,,85,,,,,72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
270,Carpinus,16,,,,,,,,,,4,,,,,,,15,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
271,Carpinus chuniana,,,,3,18,7,0,,,15,,2,,25,,,,19,43,,11,63,3,,16,,17,4.325,nan,2.5,nan,nan,3.0,6.75,nan,nan,nan,8.0,nan,nan,nan,nan,10.0,2.0,4.0
272,Carpinus cordata,,,,6,7,7,1,,,,4,19,,25,,,,2,,,37,50,,,25,,57,2.825,nan,4.25,nan,nan,2.0,5.083333333333333,nan,nan,nan,8.5,nan,nan,nan,nan,18.0,3.5,5.0
273,Carpinus cordata var. chinensis,,,,,,,0,,,,,,,,,,,,,10,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
274,Carpinus cordata var. cordata,,,,,,,,,,,,,,,,,,,,10,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
275,Carpinus cordata var. mollis,,,,,,,,,,,,,,,,,,,,10,22,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
276,Carpinus dayongina,,,,8,7,7,1,,,10,4,33,,27,,,,2,,,37,63,,,25,14,32,2.375,nan,1.1,nan,nan,2.0,5.333333333333334,nan,nan,nan,1.95,nan,nan,nan,nan,4.0,1.75,2.5
277,Carpinus fangiana,,,1,3,7,11,0,,,15,3,19,,25,,,,,,,30,50,,,24,,38,3.175,nan,3.5,nan,nan,nan,8.925,nan,nan,nan,47.5,nan,nan,nan,nan,20.0,4.0,3.5
278,Carpinus fargesiana,,,,3,7,11,1,,,10,4,19,,25,,,,19,,,37,63,,,16,,79,4.625,nan,2.75,nan,nan,2.5,4.8,nan,nan,nan,5.5,nan,nan,nan,nan,20.0,1.25,3.0
279,Carpinus fargesiana var. fargesiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
280,Carpinus fargesiana var. hwai,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
281,Carpinus firmifolia,,,,8,31,11,0,,,4,4,2,,25,,,,19,,,37,63,,36,6,,57,3.625,nan,1.75,nan,nan,3.0,3.1666666666666665,nan,nan,nan,4.5,nan,nan,nan,nan,10.0,2.0,4.0
282,Carpinus glanduloso-punctata,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
283,Carpinus hebestroma,,,,3,9,7,0,,,10,4,12,,,,,,9,,,22,63,,36,24,,79,2.35,nan,1.5,nan,nan,1.5,7.416666666666666,nan,nan,nan,3.25,nan,nan,nan,nan,8.0,1.75,2.5
284,Carpinus henryana,,,,8,7,7,1,,,10,4,19,,36,,,,12,,,37,63,,,16,,32,2.5,nan,2.25,nan,nan,3.0,3.925,nan,nan,nan,6.5,nan,nan,nan,nan,18.0,2.0,4.0
285,Carpinus hupeana,,,,3,7,11,1,,,15,4,19,,36,,,,2,,,11,63,,,17,,38,5.975,nan,2.5,nan,nan,4.0,3.466666666666667,nan,nan,nan,8.5,nan,nan,nan,nan,18.0,1.75,5.0
286,Carpinus kawakamii,9,,,6,31,7,1,,,10,,19,,25,,,,2,,,22,63,,,14,,38,2.15,nan,2.25,nan,nan,nan,2.5166666666666666,nan,nan,nan,5.0,nan,nan,nan,nan,nan,1.0,3.0
287,Carpinus kweichowensis,,,,3,18,11,1,,,5,,8,,,,,,19,43,,22,63,,,24,,17,2.725,nan,5.0,nan,nan,5.0,4.75,nan,nan,nan,11.5,nan,nan,nan,nan,28.0,2.0,6.0
288,Carpinus londoniana,11,,,3,,11,1,,,10,4,1,,29,,14,,9,,,22,63,3,,27,,53,5.05,nan,nan,nan,nan,3.0,5.75,nan,nan,nan,9.0,nan,nan,nan,nan,11.5,2.5,3.5
289,Carpinus londoniana var. lanceolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
290,Carpinus londoniana var. latifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
291,Carpinus londoniana var. londoniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
292,Carpinus londoniana var. xiphobracteata,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
293,Carpinus microphylla,,,,3,31,11,0,,,4,4,8,,,,,,19,,,30,63,,,24,,38,2.975,nan,1.1,nan,nan,2.0,1.1333333333333333,nan,nan,nan,2.65,nan,nan,nan,nan,3.0,1.0,2.5
294,Carpinus minutiserrata,,,,8,31,7,0,,,10,,19,,25,,,,2,,,37,63,,,24,,22,5.625,nan,nan,nan,nan,2.0,5.483333333333333,nan,nan,nan,3.5,nan,nan,nan,nan,nan,1.5,3.0
295,Carpinus mollicoma,,,,6,31,11,0,,,15,4,19,,29,,,,19,41,,30,63,,,16,,34,3.0,nan,1.25,nan,nan,3.0,5.208333333333333,nan,nan,nan,2.75,nan,nan,nan,nan,10.0,1.5,4.0
296,Carpinus monbeigiana,,,,8,9,4,1,,,15,4,19,,36,,,,9,43,,24,63,18,,6,,34,5.125,nan,2.25,nan,nan,nan,4.266666666666667,nan,nan,nan,6.5,nan,nan,nan,nan,16.0,1.75,3.5
297,Carpinus oblongifolia,,,,8,7,11,0,,,15,4,39,,36,,,,19,43,,11,63,,,16,,79,5.0,nan,2.25,nan,nan,3.0,2.5833333333333335,nan,nan,nan,7.0,nan,nan,nan,nan,12.0,1.5,4.0
298,Carpinus omeiensis,,,,3,31,11,0,,,15,4,19,,27,,,,,43,,37,63,,,6,,17,3.75,nan,1.75,nan,nan,3.0,5.0166666666666675,nan,nan,nan,7.0,nan,nan,nan,nan,7.0,2.5,4.0
299,Carpinus polyneura,,,,8,31,7,0,,,10,4,19,,27,,,,9,,,22,63,,36,16,14,22,3.5,nan,1.5,nan,nan,2.0,4.883333333333334,nan,nan,nan,4.5,nan,nan,nan,nan,15.0,2.0,2.5
300,Carpinus pubescens,,,,8,9,2,1,,,10,4,6,,27,,,,19,,,22,63,,,6,,43,2.75,nan,1.75,nan,nan,2.5,6.25,nan,nan,nan,6.0,nan,nan,nan,nan,17.0,2.5,3.5
301,Carpinus purpurinervis,,,,3,31,7,0,,,10,4,19,,25,,,,2,32,,8,63,,,16,,34,2.85,nan,1.5,nan,nan,3.0,6.916666666666666,nan,nan,nan,4.0,nan,nan,nan,nan,5.0,2.5,4.0
302,Carpinus putoensis,,,,8,7,11,1,,,10,4,8,,27,,,,19,,,37,63,,,16,,17,5.375,nan,4.5,nan,nan,4.0,5.966666666666667,nan,nan,nan,5.5,nan,nan,nan,nan,15.0,2.25,6.0
303,Carpinus rankanensis,,,0,6,,,1,,,5,3,6,,25,,,,2,,,8,50,,,24,,43,4.5,nan,nan,nan,nan,nan,9.333333333333332,nan,nan,nan,11.0,nan,nan,nan,nan,nan,2.5,3.5
304,Carpinus rankanensis var. matsudae,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
305,Carpinus rankanensis var. rankanensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
306,Carpinus rupestris,,,,,,,,,,,,19,,,,,,2,5,,37,,,,,,,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan
307,Carpinus shensiensis,,,,3,7,7,1,,,15,,12,,25,,,,9,,,8,63,3,,16,,43,2.425,nan,4.25,nan,nan,3.0,3.8166666666666664,nan,nan,nan,8.0,nan,nan,nan,nan,15.0,2.25,4.0
308,Carpinus stipulata,,,,8,7,11,0,,,15,4,19,,25,,,,2,,,8,63,,,21,,57,2.5,nan,2.0,nan,nan,2.5,4.75,nan,nan,nan,5.0,nan,nan,nan,nan,8.0,1.0,4.0
309,Carpinus sungpanensis,,,,3,31,11,0,,,15,4,19,,36,,,,19,,,8,63,,,25,,79,4.3,nan,2.0,nan,nan,3.0,2.3333333333333335,nan,nan,nan,5.0,nan,nan,nan,nan,10.0,2.25,4.0
310,Carpinus tientaiensis,,,,8,31,11,1,,,5,,19,,25,,16,,7,,,22,67,,,24,,57,5.875,nan,nan,nan,nan,5.0,3.8,nan,nan,nan,7.5,nan,nan,nan,nan,18.0,2.5,5.5
311,Carpinus tsaiana,,,,8,9,2,0,,,15,4,19,,25,,,,,,,11,63,18,,16,,17,3.45,nan,nan,nan,nan,nan,6.083333333333333,nan,nan,nan,12.0,nan,nan,nan,nan,30.0,3.0,5.5
312,Carpinus tschonoskii,,,,8,9,11,1,,,10,4,6,,27,,,,19,,,22,63,,,25,,17,2.375,nan,3.5,nan,nan,3.5,4.300000000000001,nan,nan,nan,8.0,nan,nan,nan,nan,25.0,2.5,4.5
313,Carpinus tsunyihensis,,,,8,7,,1,,,15,4,6,,29,,,,19,,,8,63,,,6,,79,4.85,nan,1.5,nan,nan,3.0,4.95,nan,nan,nan,5.25,nan,nan,nan,nan,7.0,2.0,4.0
314,Carpinus turczaninowii,13,,,3,31,,1,,,15,4,8,,27,,,,9,,,37,63,,36,14,,52,4.825,nan,nan,nan,nan,2.0,8.0,nan,nan,nan,4.5,nan,nan,nan,nan,12.5,nan,3.0
315,Carpinus viminea,,,,32,9,7,1,,,10,4,19,,25,,7,,2,,,8,63,,,16,14,57,4.0,nan,2.75,nan,nan,3.0,4.25,nan,nan,nan,10.0,nan,nan,nan,nan,15.0,2.75,3.5
316,Carpinus viminea var. chiukiangensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317,Carpinus viminea var. viminea,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318,Corylus,,,,,,,,,,,,,,,,,,,,,,63,,,14,,72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319,Corylus chinensis,,,,29,,,0,,,15,,8,,25,,,,19,,,8,84,,36,14,,83,9.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,40.0,nan,nan
320,Corylus fargesii,,,,3,,,1,,,15,,15,,25,,10,,9,43,,22,,,36,14,,34,4.0,nan,nan,nan,nan,nan,3.375,nan,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan
321,Corylus ferox,15,,,6,,,1,,,5,,19,,36,,,,9,,,32,66,,40,21,,46,6.0,nan,nan,nan,nan,nan,6.125,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,1.25
322,Corylus ferox var. ferox,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323,Corylus ferox var. thibetica,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
324,Corylus heterophylla,,,,3,,,1,,,15,,19,,25,,,,9,12,,22,66,,40,14,,79,6.25,nan,nan,nan,nan,nan,3.275,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan
325,Corylus heterophylla var. heterophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
326,Corylus heterophylla var. sutchuanensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
327,Corylus mandshurica,,,,7,,,0,,,15,,8,,25,,,,19,,,8,,,40,24,,79,6.5,nan,nan,nan,nan,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan,6.0,nan,nan
328,Corylus wangii,13,,,6,7,11,0,,,15,,12,,25,,11,,2,43,,22,66,,40,14,,79,4.75,nan,nan,nan,nan,2.0,8.083333333333332,nan,nan,nan,nan,nan,nan,nan,nan,7.0,1.0,1.75
329,Corylus yunnanensis,,,,3,28,9,0,,,14,,19,,25,,27,,16,18,,31,66,,40,14,,83,6.0,nan,nan,nan,nan,nan,6.383333333333333,nan,nan,nan,nan,nan,nan,nan,nan,7.0,1.0,1.75
330,Ostrya,8,,,,,,,,,11,,,,,,,,,,,18,50,,28,,,77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
331,Ostrya japonica,,,,3,7,7,1,,,5,4,19,,,,,,6,,,22,63,3,,14,,57,6.25,nan,nan,nan,7.5,nan,3.5,nan,nan,nan,2.0,nan,nan,nan,nan,20.0,2.25,6.5
332,Ostrya multinervis,,,,8,31,5,1,,,15,4,12,,25,,,,7,,,8,32,3,,25,,38,4.5,nan,nan,nan,nan,2.5,5.0,nan,nan,nan,4.5,nan,nan,nan,nan,25.0,2.0,4.75
