anther_size.1.length_units
sheath_size.1.length_units
shrub_size.1.height_units
shrub_size.1.length_units
shrub_tree_size.1.length_units
solitary_hair_size.1.diameter_units
solitary_hair_size.1.length_units
solitary_size.1.diameter_units
solitary_size.1.length_units
solitary_size.1.width_units
solitary_size.2.length_units
solitary_size.2.width_units
solitary_size.3.width_units
solitary_size_male.1.length_units
spike_size.1.length_units
spike_size_male.1.length_units
spikes_size.1.length_units
spikes_size_male.1.length_units
spikes_size_staminate.1.length_units
stalk_base_size.1.length_units
stalk_bract_size_staminate.1.length_units
stalk_size.1.length_units
stalk_size.1.thickness_units
stalk_size.1.width_units
stalk_size.2.length_units
stalk_size.2.thickness_units
stalk_size.2.width_units
stalk_size_staminate.1.length_units
stamen_size.1.length_units
stamen_size_staminate.1.length_units
stamen_size_staminate.1.width_units
stem_size.1.length_units
stigma_size.1.length_units
stipe_size.1.length_units
stipe_size.2.thickness_units
stipule_size.1.length_units
tree_shrub_size.1.length_units
tree_size.1.height_units
tree_size.1.length_units
tree_size.2.length_units
trunk_size.1.dbh_units
trunk_size.1.diameter_units
trunk_size.1.height_units
trunk_size.1.length_units
trunk_size.2.dbh_units
twig_size.1.diameter_units
twig_size.1.length_units
twig_size.2.diameter_units
