Accepted term,Synonym
peduncle_shape,peduncle_shape.4.shape
perianth_shape,perianth_shape.1.shape
petiole_apex_shape,petiole_apex_shape.1.shape
petiole_apex_shape,petiole_apex_shape.2.shape
petiole_base_shape,petiole_base_shape.1.shape
petiole_base_shape,petiole_base_shape.2.shape
petiole_base_shape,petiole_base_shape.3.shape
petiole_hair_shape,petiole_hair_shape.1.shape
petiole_hair_shape,petiole_hair_shape.2.shape
petiole_lobe_shape,petiole_lobe_shape.1.shape
petiole_lobe_shape,petiole_lobe_shape.2.shape
petiole_margin_shape,petiole_margin_shape.1.shape
petiole_rachis_scales_shape,petiole_rachis_scales_shape.1.shape
petiole_shape,petiole_shape.1.shape
petiole_shape,petiole_shape.2.shape
petiole_shape,petiole_shape.3.shape
petiole_shape,petiole_shape.4.shape
petiole_tip_shape,petiole_tip_shape.1.shape
petiole_tip_shape,petiole_tip_shape.2.shape
petiole_tooth_shape,petiole_tooth_shape.1.shape
petiolule_base_shape,petiolule_base_shape.1.shape
petiolule_base_shape,petiolule_base_shape.2.shape
pistil_hair_shape,pistil_hair_shape.1.shape
pistil_hair_shape_staminate,pistil_hair_shape_staminate.1.shape
pith_shape,pith_shape.1.shape
pith_shape,pith_shape.2.shape
raceme_shape,raceme_shape.1.shape
raceme_shape,raceme_shape.2.shape
raceme_shape,raceme_shape.3.shape
rachis_apex_shape,rachis_apex_shape.1.shape
rachis_bract_shape,rachis_bract_shape.1.shape
rachis_hair_shape,rachis_hair_shape.1.shape
rachis_shape,rachis_shape.1.shape
rachis_shape,rachis_shape.2.shape
rachis_shape,rachis_shape.3.shape
rachis_shape,rachis_shape.4.shape
rachis_shape_male,rachis_shape_male.1.shape
seed_shape,seed_shape.1.shape
sepal_shape,sepal_shape.1.shape
sheath_lobe_shape,sheath_lobe_shape.1.shape
sheath_shape,sheath_shape.1.shape
sheath_shape,sheath_shape.2.shape
shrub_gland_shape,shrub_gland_shape.1.shape
shrub_shape,shrub_shape.1.shape
solitary_hair_shape,solitary_hair_shape.1.shape
solitary_rim_shape,solitary_rim_shape.1.shape
solitary_shape,solitary_shape.1.shape
solitary_shape,solitary_shape.2.shape
solitary_shape,solitary_shape.3.shape
solitary_shape_male,solitary_shape_male.1.shape
solitary_shape_staminate,solitary_shape_staminate.1.shape
solitary_shape_staminate,solitary_shape_staminate.2.shape
solitary_shape_staminate,solitary_shape_staminate.3.shape
solitary_tip_shape,solitary_tip_shape.1.shape
spike_shape,spike_shape.1.shape
spike_shape,spike_shape.2.shape
spike_shape,spike_shape.3.shape
spikes_shape,spikes_shape.1.shape
spikes_shape,spikes_shape.2.shape
spikes_shape,spikes_shape.3.shape
spikes_shape_male,spikes_shape_male.1.shape
spikes_shape_male,spikes_shape_male.2.shape
spikes_shape_staminate,spikes_shape_staminate.1.shape
stalk_apex_shape,stalk_apex_shape.1.shape
stalk_base_shape,stalk_base_shape.1.shape
stalk_base_shape,stalk_base_shape.2.shape
stalk_bract_shape_staminate,stalk_bract_shape_staminate.1.shape
stalk_shape,stalk_shape.1.shape
stalk_trichome_shape_staminate,stalk_trichome_shape_staminate.1.shape
stem_shape,stem_shape.1.shape
stigma_shape,stigma_shape.1.shape
stigma_shape,stigma_shape.2.shape
stipe_apex_shape,stipe_apex_shape.1.shape
stipe_shape,stipe_shape.1.shape
stipule_scales_shape,stipule_scales_shape.1.shape
stipule_shape,stipule_shape.1.shape
stipule_shape,stipule_shape.2.shape
tree_apex_shape,tree_apex_shape.1.shape
tree_base_shape,tree_base_shape.1.shape
tree_base_shape,tree_base_shape.2.shape
tree_margin_shape,tree_margin_shape.1.shape
tree_shape,tree_shape.1.shape
trunk_branch_shape,trunk_branch_shape.1.shape
