taxon,bark_size.1.length_high,bark_color,fruit_shape,infructescence_shape,leaf_color,leaf_hair_surface,peduncle_shape,nut_apex_shape,nut_surface,nutlet_surface,branch_color,petiole_venation,nut_color,bract_apex_shape,branch_surface,nutlet_shape,twig_surface,bud_shape,petiole_apex_shape,article_surface,leaf_apex_shape,bract_margin,petiole_base_shape,phyllichnia_shape,leaf_duration,petiole_color,rachis_shape,rachis_surface,bark_surface,leaf_hair_shape,leaf_margin,bract_surface,leaf_axil_venation,leaf_venation,petiole_surface,branch_shape,bract_color,petiole_shape,leaf_count_location,leaf_base_shape,twig_color,bract_shape,inflorescence_shape,peduncle_surface,nut_shape,leaf_surface,leaf_shape,bud_surface,bud_color,bract_size_width,nut_size_length,bract_size_length,leaf_size_width,fruit_size_length,nutlet_size_width,infructescence_size_width,article_size_width,inflorescence_size_width,peduncle_size_length,nutlet_size_length,leaf_size_length,nut_size_width,inflorescence_size_length,infructescence_size_length,bract_size_thickness,bud_size_length,tree_size_height,branch_size_length,nut_size_thickness,article_size_length,petiole_size_length,rachis_size_thickness,twig_size_diameter,rachis_size_length
Betula delavayi,nan,9,,,45,,,,,3,4,,,,13,8,,,,,4,0,,,,,,,,,32,16,,15,12,,,,,27,,40,14,9,,34,18,,,nan,nan,7.5,2.5,nan,1.5,nan,nan,5.0,5.0,2.5,4.5,nan,1.75,nan,nan,nan,nan,nan,nan,nan,7.5,nan,nan,nan
Betula delavayi var. delavayi,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula delavayi var. microstachya,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula delavayi var. polyneura,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula ermanii,nan,10,,,,,,,,,10,,,,2,5,,,,,8,,,,,,,,,,28,,,6,,,,,,,,,17,,,34,49,,,nan,nan,6.5,3.1,nan,1.8,nan,nan,0.8,4.5,2.5,4.5,nan,2.1,nan,nan,nan,nan,nan,nan,nan,1.7,nan,nan,nan
Betula ermanii var. ermanii,nan,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,3,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula ermanii var. macrostrobila,nan,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,2,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula ermanii var. yingkiliensis,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula fargesii,nan,9,,,,,,,,3,4,,,,7,8,,,,,4,0,,,,,,,,,28,,,6,7,,,,,27,,,17,,,17,49,,,nan,nan,7.5,3.5,nan,nan,nan,nan,0.5,1.5,nan,5.25,nan,1.25,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan
Betula fruticosa,nan,10,,,,,,,,,4,,,,2,3,,,,,8,0,,,,,,,,,32,,,6,1,,,,,17,,34,14,6,,8,49,,,nan,nan,5.5,1.5,nan,1.0,nan,nan,5.0,3.5,1.5,2.25,nan,1.5,nan,nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan
Betula fujianensis,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula gmelinii,nan,2,,,,,,,,,4,,,,7,4,,,,,8,,,,,,,,,,32,,,6,,,,11,,17,,40,14,,,7,18,,,nan,nan,5.5,1.75,nan,1.5,nan,nan,8.0,4.5,3.0,2.75,nan,1.6,nan,nan,nan,nan,nan,nan,nan,4.5,nan,nan,nan
Betula gynoterminalis,nan,,,,47,,,,,,23,,,,2,,,,,,4,0,,,,,,,,,32,,,6,12,,,,,17,,34,,,,7,49,,,4.0,nan,8.0,7.5,nan,1.5,nan,nan,nan,6.0,2.0,12.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan
Betula halophila,nan,6,,,,,,,,3,4,,,,7,11,,,,,8,0,,,,,,,,,28,9,,6,7,,,11,,,,36,14,6,,19,49,,,nan,nan,7.0,2.1,nan,1.5,nan,nan,1.0,6.5,2.0,3.5,nan,2.5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Betula humilis,nan,5,,,,,,,,,4,,,,7,6,,,,,8,0,,,,,,,,,32,,,15,7,,,,,17,,34,14,6,,7,49,,,nan,nan,3.5,1.05,nan,1.5,nan,nan,4.0,2.0,2.0,1.75,nan,1.25,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan
Betula insignis,nan,2,,,,,,,,0,27,,,,7,6,,,,,4,0,,,,,,,,,28,9,1,15,,,,,,37,,,14,,,34,18,,,nan,nan,9.5,4.5,nan,1.5,nan,nan,nan,3.25,4.0,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4,nan,nan,nan
Betula jinpingensis,nan,,,,,,,,,,14,,,,2,3,,,,,4,0,,,,,,,,,32,,,6,,,,,,27,,40,14,,,34,29,,,nan,nan,6.5,4.25,nan,nan,nan,nan,1.0,6.5,2.0,8.5,nan,4.5,nan,nan,nan,nan,nan,nan,nan,1.5,nan,nan,nan
Betula jiulungensis,nan,,,,47,,,,,,4,,,,13,11,,,,,4,,,,,18,,,,,13,14,,15,9,,11,,9,,,40,14,,,34,49,,,nan,nan,5.0,1.85,nan,1.5,nan,nan,5.0,2.0,2.0,3.5,nan,1.5,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan
Betula luminifera,nan,5,,,,,,,,3,11,,,,7,8,,,,,19,,,,,,,,0,,33,,1,6,12,,,,,27,,,0,6,,19,37,,,nan,nan,2.5,4.25,nan,nan,nan,nan,6.0,1.5,2.0,7.25,nan,6.0,nan,nan,nan,nan,nan,nan,nan,1.5,nan,nan,nan
Betula microphylla,nan,10,,,,,,,,3,14,,,,3,11,,,,,8,0,,,,,,,,,32,9,,15,7,,,11,,17,,34,14,,,19,61,,,nan,nan,5.5,2.25,nan,1.5,nan,nan,7.0,7.5,2.5,3.25,nan,1.75,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Betula microphylla var. ebinurica,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula microphylla var. harasiica,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula microphylla var. latibracteata,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula microphylla var. paludosa,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula microphylla var. tumantica,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula middendorfii,nan,7,,,24,,9,,,0,10,,,,7,11,,,,,23,0,,,,,,,,,13,3,,6,7,,,,,18,,37,14,6,,7,40,,,nan,nan,6.0,1.65,nan,1.5,nan,nan,8.0,9.0,2.0,2.1,nan,1.35,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan
Betula ovalifolia,nan,6,,,45,,,,,,27,,,,7,3,,,,,23,0,,,,,,,,,32,,,6,,,,,,17,,40,14,6,,7,18,,,nan,nan,5.5,3.0,nan,1.5,nan,nan,7.0,4.0,3.0,3.25,nan,2.25,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan
Betula pendula,nan,10,,,,,7,,,3,4,,,,2,4,,,,,5,0,,,,,,,,,14,9,,6,,21,,11,,41,,,14,,,7,54,,,nan,nan,5.5,3.75,nan,1.0,nan,nan,8.0,1.5,2.0,5.25,nan,2.15,nan,nan,nan,nan,nan,nan,nan,2.5,nan,nan,nan
Betula platyphylla,nan,10,,,,,9,,,3,4,,,,2,6,,,,,8,0,,,,,,,,,32,9,1,6,,17,,11,,41,,39,18,,,19,71,,,nan,nan,6.0,4.75,nan,1.0,nan,nan,0.6,1.75,1.5,6.0,nan,3.5,nan,nan,nan,nan,nan,nan,nan,1.75,nan,nan,nan
Betula potaninii,nan,6,,,45,,,,,3,4,,,,7,8,,,,,8,,,,,18,,,,,13,,,6,12,17,,,,27,,,14,9,,21,32,,,nan,nan,4.5,1.75,nan,1.0,nan,nan,5.0,2.0,1.5,2.25,nan,1.5,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan
Betula rhombibracteata,nan,8,,,,,,,,3,9,,,,3,6,,,,,4,,,,,,,,,,33,2,1,15,12,,,,,27,,46,,6,,34,37,,,3.0,nan,4.5,6.25,nan,1.5,nan,nan,nan,1.0,3.0,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.25,nan,nan,nan
Betula rotundifolia,nan,2,,,,,,,,,27,,,,2,6,,,,,,0,,,,,,,,,32,,,6,7,,,11,,17,,13,14,6,,7,45,,,nan,nan,6.0,1.4,nan,1.8,nan,nan,6.0,3.5,2.5,1.75,nan,1.95,nan,nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan
Betula schmidtii,nan,0,,,,,,,,3,9,,,,3,11,,,,,,,,,,,,,,,32,2,,6,12,,,,,27,,28,14,6,,34,49,,,nan,nan,4.5,3.5,nan,1.5,nan,nan,7.0,4.5,2.0,6.0,nan,2.5,nan,nan,nan,nan,nan,nan,nan,7.5,nan,nan,nan
Betula tianschanica,nan,19,,,,,7,,,,4,,,,3,8,,,,,4,0,,,,,,,,,28,9,,6,,,,,,17,,40,14,6,,27,52,,,nan,nan,6.5,3.5,nan,nan,nan,nan,5.0,1.1,2.5,4.5,nan,2.5,nan,nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan
Betula trichogemma,nan,6,,,13,,,,,3,4,,,,11,10,,,,,23,,,,,,,,,,28,,,15,12,,,,,27,,,14,,,29,23,,,nan,nan,4.0,1.15,nan,1.8,nan,nan,3.0,nan,2.0,2.25,nan,1.4,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan
Betula utilis,nan,7,,,,,,,,,4,,,,7,8,,,,,5,0,,,,,,,,,28,9,1,6,,,,,,37,,,,,,19,49,,,nan,nan,6.5,4.25,nan,1.5,nan,nan,nan,1.0,2.0,6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4,nan,nan,nan
Betulaceae,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,15,,,,,,,,,18,,,,56,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,32,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus chuniana,nan,2,,,,,,,,1,27,,,1,13,12,,,,,4,11,,,,18,,,,,32,13,1,6,12,,,,,15,,3,,6,,34,18,,,1.3,nan,2.25,5.25,nan,3.0,nan,nan,2.5,2.0,4.0,9.0,nan,8.0,nan,nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan
Carpinus cordata,nan,2,,,,,,,,0,11,,,,13,6,,,,,4,16,,,,,,,,,33,2,,6,11,,,,,15,,36,,6,,19,49,,,1.15,nan,2.0,4.5,nan,2.0,nan,nan,4.0,3.5,4.0,11.5,nan,8.5,nan,nan,nan,nan,nan,nan,nan,1.75,nan,nan,nan
Carpinus cordata var. chinensis,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,34,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus cordata var. cordata,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus cordata var. mollis,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus dayongina,nan,9,,,,,9,,,5,23,,,1,2,12,,,,,4,11,,,,,,,,,33,9,,15,7,,,,,17,,3,,6,,34,28,,,3.5,nan,6.5,1.25,nan,1.5,nan,nan,1.0,1.75,2.0,3.5,nan,1.95,nan,nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan
Carpinus fangiana,nan,6,,,,,,,,0,9,,,,,6,,,,,4,16,,,,,,,,,33,13,1,6,1,,,,,15,,13,,6,,7,32,,,1.1,nan,2.15,5.25,nan,nan,nan,nan,3.0,4.0,3.5,16.5,nan,47.5,nan,nan,nan,nan,nan,nan,nan,1.5,nan,nan,nan
Carpinus fargesiana,nan,9,,,,,,,,5,4,,,0,13,12,,,,,4,7,,,,,,,,,28,16,1,6,12,,,11,,37,,3,,9,,34,32,,,7.0,nan,1.4,2.25,nan,2.5,nan,nan,2.5,1.25,3.0,5.0,nan,5.5,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan
Carpinus fargesiana var. fargesiana,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus fargesiana var. hwai,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus firmifolia,nan,9,,,,,,,,5,11,,,1,5,12,,,,,4,4,,,,,,,,,32,16,1,5,12,21,,,,37,,3,,9,,21,49,,,5.5,nan,1.5,1.75,nan,3.0,nan,nan,1.5,2.0,4.0,3.85,nan,4.5,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan
Carpinus glanduloso-punctata,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus hebestroma,nan,9,,,,,,,,5,9,,,6,7,12,,,,,4,5,,,,,,,,,32,9,,15,7,21,,11,,,,3,,6,,,28,,,5.0,nan,8.5,1.45,nan,1.5,nan,nan,1.5,1.75,2.5,5.25,nan,3.25,nan,nan,nan,nan,nan,nan,nan,8.5,nan,nan,nan
Carpinus henryana,nan,9,,,,,,,,0,9,,,1,13,12,,,,,5,16,,,,,,,,,7,16,1,6,1,,,,,27,,3,,6,,34,28,,,nan,nan,nan,2.5,nan,3.0,nan,nan,2.0,2.0,4.0,6.5,nan,6.5,nan,nan,nan,nan,nan,nan,nan,1.35,nan,nan,nan
Carpinus hupeana,nan,9,,,,,,,,5,23,,,6,2,12,,,,,4,12,,,,,,,,,8,16,1,6,12,,,,,27,,3,,9,,8,32,,,8.5,nan,1.3,3.45,nan,4.0,nan,nan,2.0,1.75,5.0,8.0,nan,8.5,nan,nan,nan,nan,nan,nan,nan,1.1,nan,nan,nan
Carpinus kawakamii,nan,9,,,,,,,,1,4,,,0,2,12,,,,,4,11,,,,,,,,,13,9,,6,7,,,,,37,,40,,6,,34,32,,,nan,nan,1.9,2.15,nan,nan,nan,nan,2.0,1.0,3.0,4.5,nan,5.0,nan,nan,nan,nan,nan,nan,nan,1.15,nan,nan,nan
Carpinus kweichowensis,nan,9,,,,,,,,3,5,,,,13,12,,,,,4,11,,,,18,,,0,,32,16,1,15,12,,,,,,,19,,9,,19,18,,,0.95,nan,2.9,4.5,nan,5.0,nan,nan,5.0,2.0,6.0,10.0,nan,11.5,nan,nan,nan,nan,nan,nan,nan,1.35,nan,nan,nan
Carpinus londoniana,nan,10,,,,,,,,,1,,,6,13,12,,,,,4,11,,,,,,,,,28,2,1,15,7,,,,,18,,1,,9,,7,37,,,7.5,nan,2.75,2.6,nan,2.5,nan,nan,nan,2.5,3.0,9.0,nan,9.0,nan,nan,nan,10.0,nan,nan,nan,5.5,nan,nan,nan
Carpinus londoniana var. lanceolata,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus londoniana var. latifolia,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus londoniana var. londoniana,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus londoniana var. xiphobracteata,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus microphylla,nan,9,,,,,,,,3,5,,,1,13,12,,,,,4,11,,,,,,,,,13,13,,15,12,,,,,,,3,,9,,27,32,,,5.0,nan,1.2000000000000002,0.95,nan,2.0,nan,nan,1.0,1.0,2.5,1.1,nan,2.65,nan,nan,nan,nan,nan,nan,nan,1.1,nan,nan,nan
Carpinus minutiserrata,nan,9,,,,,,,,1,9,,,1,2,12,,,,,4,4,,,,,,,,,32,16,,15,12,,,,,37,,3,,6,,34,20,,,6.5,nan,1.35,2.5,nan,2.0,nan,nan,nan,1.5,3.0,8.5,nan,3.5,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan
Carpinus mollicoma,nan,9,,,45,,,,,5,4,,,0,13,12,,,,,4,11,,,,,,,,,30,16,,6,12,,,,,27,,3,,9,,34,29,,,5.0,nan,1.5,2.25,nan,3.0,nan,nan,1.0,1.5,4.0,5.75,nan,2.75,nan,nan,nan,nan,nan,nan,nan,5.5,nan,nan,nan
Carpinus monbeigiana,nan,9,,,,,,,,3,5,,,1,7,12,,,,,8,11,,,,18,,,,,29,5,1,15,7,,11,,,27,,3,,3,,21,29,,,7.0,nan,1.8,3.25,nan,nan,nan,nan,2.0,1.75,3.0,7.5,nan,6.5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Carpinus oblongifolia,nan,6,,,,,,,,0,23,,,6,13,12,,,,,8,16,,,,18,,,,,13,16,1,6,12,,,11,,27,,3,,9,,8,38,,,7.0,nan,1.25,3.0,nan,3.0,nan,nan,2.0,1.5,4.0,5.25,nan,7.0,nan,nan,nan,nan,nan,nan,nan,1.25,nan,nan,nan
Carpinus omeiensis,nan,9,,,,,,,,5,4,,,0,,12,,,,,4,4,,,,18,,,,,33,16,1,6,12,,,,,27,,3,,9,,,18,,,4.5,nan,1.55,3.0,nan,3.0,nan,nan,1.5,2.5,4.0,7.0,nan,7.0,nan,nan,nan,nan,nan,nan,nan,6.5,nan,nan,nan
Carpinus polyneura,nan,9,,,,,9,,,3,26,,,1,7,12,,,,,,11,,,,,,,,,33,16,1,15,7,21,,,,17,,3,,6,,34,20,,,5.0,nan,1.15,2.0,nan,1.5,nan,nan,1.0,2.0,2.0,6.0,nan,4.5,nan,nan,nan,nan,nan,nan,nan,7.5,nan,nan,nan
Carpinus pubescens,nan,6,,,,,,,,3,4,,,1,13,12,,,,,4,4,,,,,,,,,32,16,1,15,7,,,,,17,,54,,1,,34,37,,,nan,nan,1.75,2.75,nan,2.0,nan,nan,1.0,2.5,3.0,7.5,nan,6.0,nan,nan,nan,nan,nan,nan,nan,9.5,nan,nan,nan
Carpinus purpurinervis,nan,9,,,36,,,,,1,9,,,9,2,12,,,,,4,11,,,,,,,,,28,,,6,12,,,,,37,,3,,6,,7,29,,,7.0,nan,15.0,1.35,nan,3.0,nan,nan,1.5,2.5,4.0,4.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan
Carpinus putoensis,nan,6,,,,,,,,0,4,,,7,13,12,,,,,4,11,,,,,,,,,33,,1,6,7,,,,,27,,40,,9,,19,18,,,8.0,nan,2.9,4.25,nan,4.0,nan,nan,4.0,2.25,6.0,7.5,nan,5.5,nan,nan,nan,nan,nan,nan,nan,7.5,nan,nan,nan
Carpinus rankanensis,nan,9,,,,,,,,,4,,,,2,12,,,,,4,16,,,,,,,,,33,,,15,1,,,,,15,,36,,,,34,37,,,7.0,nan,13.0,3.5,nan,nan,nan,nan,nan,2.5,3.5,9.0,nan,11.0,nan,nan,nan,nan,nan,nan,nan,7.5,nan,nan,nan
Carpinus rankanensis var. matsudae,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus rankanensis var. rankanensis,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus rupestris,nan,9,,,,,,,,,4,,,,13,,,,,,,,,,,2,,,,,,,,,12,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,2.0,nan,nan,nan
Carpinus shensiensis,nan,9,,,,,,,,0,9,,,0,7,12,,,,,4,4,,,,,,,,,32,16,1,6,7,,,,,15,,3,,6,,8,37,,,1.1,nan,2.75,3.75,nan,3.0,nan,nan,4.0,2.25,4.0,7.5,nan,8.0,nan,nan,nan,nan,nan,nan,nan,1.2,nan,nan,nan
Carpinus stipulata,nan,9,,,,,,,,5,23,,,1,2,12,,,,,4,11,,,,,,,,,28,16,1,6,12,,,,,37,,3,,9,,7,49,,,3.0,nan,15.0,2.0,nan,2.5,nan,nan,2.0,1.0,4.0,2.75,nan,5.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Carpinus sungpanensis,nan,9,,,,,,,,5,4,,,1,13,12,,,,,4,11,,,,,,,,,33,2,,15,7,,,11,,27,,3,,9,,34,49,,,6.5,nan,1.4,2.1,nan,3.0,nan,nan,1.0,2.25,4.0,4.5,nan,5.0,nan,nan,nan,nan,nan,nan,nan,1.1,nan,nan,nan
Carpinus tientaiensis,nan,9,,,,,,,,5,11,,,6,5,12,,,,,8,16,,,,,,,0,,32,9,1,6,12,,,,,37,,1,,9,,17,49,,,7.5,nan,2.75,4.25,nan,4.5,nan,nan,nan,2.5,5.0,7.5,nan,7.5,nan,nan,nan,16.0,nan,nan,nan,1.15,nan,nan,nan
Carpinus tsaiana,nan,9,,,,,,,,1,24,,,1,,14,,,,,4,16,,,,,,,,,32,16,1,6,12,,,,,15,,3,,1,,7,18,,,1.65,nan,2.75,5.25,nan,nan,nan,nan,nan,3.0,5.0,10.5,nan,12.0,nan,nan,nan,nan,nan,nan,nan,1.5,nan,nan,nan
Carpinus tschonoskii,nan,9,,,,,,,,0,4,,,1,13,12,,,,,5,11,,,,,,,,,33,16,1,6,7,,,,,17,,3,,9,,34,18,,,1.0,nan,3.25,3.75,nan,3.0,nan,nan,3.0,2.5,4.0,8.5,nan,8.0,nan,nan,nan,nan,nan,nan,nan,1.15,nan,nan,nan
Carpinus tsunyihensis,nan,9,,,,,,,,5,4,,,1,13,12,,,,,5,4,,,,,,,,,33,2,,15,7,,,11,,18,,3,,,,7,18,,,6.0,nan,1.35,3.7,nan,3.0,nan,nan,1.0,2.0,4.0,7.0,nan,5.25,nan,nan,nan,nan,nan,nan,nan,6.5,nan,nan,nan
Carpinus turczaninowii,nan,9,,,,,,,,5,5,,,1,7,12,,,,,4,13,,,,,,,,,32,9,1,15,7,21,,,,17,,0,,,,34,49,,,7.0,nan,13.0,2.65,nan,2.0,nan,nan,nan,nan,3.0,4.0,nan,4.5,nan,nan,nan,10.0,nan,nan,nan,7.0,nan,nan,nan
Carpinus viminea,nan,9,,,,,9,,,1,4,,,1,2,12,,,,,4,4,,,,,,,,,28,,1,15,7,,,,,37,,24,,6,,34,18,,,nan,nan,2.0,4.0,nan,2.5,nan,nan,2.5,2.75,3.0,8.5,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,2.25,nan,nan,nan
Carpinus viminea var. chiukiangensis,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus viminea var. viminea,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus,nan,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,7,,,34,,56,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
